country,primary_theme,all_themes,text
Belgium,other,,I don't think my company is using such tool for healthcare decision
United States of America,education_awareness,education_awareness;no_action_not_my_company_literacy,More training available to staff and communication around what we can participate in
United States of America,collect_more_representative_data,collect_more_representative_data;women_in_leadership_ai_roles,If more women were making decisions there’d be a better place for us all.
United States of America,education_awareness,education_awareness,acknowledge gender differences
France,education_awareness,education_awareness,education
India,no_action_not_my_company_literacy,no_action_not_my_company_literacy,Unsure
United States of America,no_action_not_my_company_literacy,no_action_not_my_company_literacy,IDK
United States of America,other,,I can't really comment on this.
Canada,education_awareness,education_awareness;no_action_not_my_company_literacy,"not sure, policies, workshops, awareness,"
United States of America,no_action_not_my_company_literacy,no_action_not_my_company_literacy,not sure
United States of America,collect_more_representative_data,collect_more_representative_data;education_awareness;sex_stratified_data_models,Ensure that gender and race training data are diverse and representative
United States of America,no_action_not_my_company_literacy,no_action_not_my_company_literacy,don't know
United States of America,clinical_trial_diversity,clinical_trial_diversity;bias_audit_fairness_testing;no_action_not_my_company_literacy,"diversity in clinical trials, leveraging real world evidence data to train AI algorithms/models."
United States of America,collect_more_representative_data,collect_more_representative_data;clinical_trial_diversity,better representation in trials
United Kingdom,collect_more_representative_data,collect_more_representative_data;sex_stratified_data_models,"Continue to build balanced data sets, replace old data sets"
India,other,,Provide all the available incentive.
United States of America,collect_more_representative_data,collect_more_representative_data,gather new data or begin comparing symptom to diagnosis to outcome data
Mexico,collect_more_representative_data,collect_more_representative_data,collect more data on women health
United States of America,collect_more_representative_data,collect_more_representative_data,More representative data
Spain,no_action_not_my_company_literacy,no_action_not_my_company_literacy,No idea
United States of America,no_action_not_my_company_literacy,no_action_not_my_company_literacy,unsure
United States of America,human_in_the_loop_limit_ai,human_in_the_loop_limit_ai,"AI should not be making decisions; it can provide information, options."
Spain,other,,¡start using AI they don't
United States of America,collect_more_representative_data,collect_more_representative_data,"Gather more data from the diverse pool of female employees within the company. Gather info on misdiagnosed, and out come related to that."
Switzerland,no_action_not_my_company_literacy,no_action_not_my_company_literacy,It is not about steps it is about prioritazing to minimize gender bias in AI
United Kingdom,other,,"Double blind studies, anonymisation, require diversity in leadership all the way to the top so gender diverse voices are involved in decision making."
United States of America,education_awareness,education_awareness,being open to learning about the topic
United States of America,other,,Access to these models
India,education_awareness,education_awareness,Creating awareness
United States of America,collect_more_representative_data,collect_more_representative_data;sex_stratified_data_models,"Making sure that data sets used to train models are balanced in terms of gender, age, race etc"
United States of America,other,,"consider these gender bias implications and build specifically into AI models, to minimize the bias"
Spain,collect_more_representative_data,collect_more_representative_data;women_in_leadership_ai_roles,Gather more women's data
United States of America,education_awareness,education_awareness;no_action_not_my_company_literacy,Better education and awareness.
India,no_action_not_my_company_literacy,no_action_not_my_company_literacy,-
United Kingdom,collect_more_representative_data,collect_more_representative_data,"To ensure it has a broad spectrum of data, but especially from women who are able to state the health conditions rather than having to select from given options."
Turkey,education_awareness,education_awareness;no_action_not_my_company_literacy,I know there are some awareness and work being done but I am not sure exactly which steps are taken.
Germany,collect_more_representative_data,collect_more_representative_data,talking about how they use AI within the broader organization for example
United States of America,collect_more_representative_data,collect_more_representative_data;education_awareness,"gather and integrate additional data, get insights from thought leaders to contextualize data from areas where data is difficult to get"
Canada,no_action_not_my_company_literacy,no_action_not_my_company_literacy,Not sure
United States of America,no_action_not_my_company_literacy,no_action_not_my_company_literacy,Continue to keep the conversations open and forthcoming
United States of America,education_awareness,education_awareness,Gain insight on women's health issues.
United States of America,other,,"Ensuring the AI models have concise, accurate and factual data around each population represented."
Canada,collect_more_representative_data,collect_more_representative_data,"Proactive, systematic data collection"
Mexico,no_action_not_my_company_literacy,no_action_not_my_company_literacy,"I do not know, as I do not have experience in AI models"
India,sex_stratified_data_models,sex_stratified_data_models;no_action_not_my_company_literacy,"Develop Gender-Specific Models, Increase Collaboration with Healthcare Experts"
Ireland,other,,as above
Greece,bias_audit_fairness_testing,bias_audit_fairness_testing;women_in_leadership_ai_roles,more genders working on the models and close monitoring
United States of America,collect_more_representative_data,collect_more_representative_data,Use real world individuals information
United States of America,education_awareness,education_awareness;no_action_not_my_company_literacy,provide education and solutions to address the issue
United Kingdom,education_awareness,education_awareness,Community outreach and education to encourage learning and see real life impact of AI
United Kingdom,collect_more_representative_data,collect_more_representative_data;no_action_not_my_company_literacy,"we don't currently use AI to inform healthcare decisions ourselves (we are a consultancy) - BUT we do pride ourselves on collecting and using diverse and different types and sources of data. We can advocate for why that is important, and could consider whether we would share data to train AI or be used as a source for AI."
United States of America,women_in_leadership_ai_roles,women_in_leadership_ai_roles;no_action_not_my_company_literacy,Employee a more diverse executive leadership/decision-making team.
India,education_awareness,education_awareness,To create more open culture
Netherlands,collect_more_representative_data,collect_more_representative_data,"We need to look at the data we feed into the model. In general, we need more data from underrepresented minorities"
France,no_action_not_my_company_literacy,no_action_not_my_company_literacy,don't know
United States of America,bias_audit_fairness_testing,bias_audit_fairness_testing;no_action_not_my_company_literacy,"Conduct regular bias audits on AI models to identify and mitigate any potential gender biases. This could involve testing the models with diverse patient data to see if the outcomes differ based on gender, and making adjustments accordingly."
United States of America,other,,better connection of solutions and easier to find
France,no_action_not_my_company_literacy,no_action_not_my_company_literacy,not enough information on it
United States of America,clinical_trial_diversity,clinical_trial_diversity;no_action_not_my_company_literacy,increase the studies performed specifically on women and use that data
United States of America,no_action_not_my_company_literacy,no_action_not_my_company_literacy,I don't know
United States of America,collect_more_representative_data,collect_more_representative_data,Not aggregate all data without characterizing it and ensuring that all groups are equally accounted
Switzerland,no_action_not_my_company_literacy,no_action_not_my_company_literacy,Put processes and requirements in place to only use non-biased data to train AI models.
Japan,collect_more_representative_data,collect_more_representative_data,Make sure all gender are included when the data is collected.
United States of America,education_awareness,education_awareness;no_action_not_my_company_literacy,I am unaware of AI models
Ireland,other,,inform us better about those potential biases.
Japan,other,,Avoid too much rely on quantifications analysis.
South Africa,education_awareness,education_awareness,More surveys AND workshops catering for women
Switzerland,collect_more_representative_data,collect_more_representative_data;education_awareness,prioritize collecting more comprehensive and representative health data
United States of America,other,,Have diversity at the center of all initiatives
United States of America,education_awareness,education_awareness,Be conscious of the fact that gender bias is real and make concerted efforts to minimize this bias.
United States of America,no_action_not_my_company_literacy,no_action_not_my_company_literacy,Not much
United States of America,collect_more_representative_data,collect_more_representative_data;women_in_leadership_ai_roles,"Include more women in decision making roles on how and which AI models to use; invest in updating health data, research, medical text books to include women's anatomical information"
Mexico,education_awareness,education_awareness;no_action_not_my_company_literacy,Unaware.
United States of America,other,,I do not know
United States of America,collect_more_representative_data,collect_more_representative_data;women_in_leadership_ai_roles,Hire more women into ai and tech roles
United States of America,sex_stratified_data_models,sex_stratified_data_models,train on gender specific data
United States of America,human_in_the_loop_limit_ai,human_in_the_loop_limit_ai,"Limit using them or only use them as a guide, but listen to the actual employees and their needs"
United States of America,collect_more_representative_data,collect_more_representative_data;sex_stratified_data_models;no_action_not_my_company_literacy,Train AI models with gender balanced data sources. Also need to balance different gender-specific conditions as well.
United States of America,collect_more_representative_data,collect_more_representative_data,collect more data from women for use in the models
United States of America,collect_more_representative_data,collect_more_representative_data,help advocate for how all companies collect and maintain data. It's not sufficient for only 1 company to chane
United States of America,no_action_not_my_company_literacy,no_action_not_my_company_literacy,Don't know
United States of America,no_action_not_my_company_literacy,no_action_not_my_company_literacy,Not sure.
United States of America,no_action_not_my_company_literacy,no_action_not_my_company_literacy,Ask more gender-based questions.
United States of America,regulatory_standards_policy,regulatory_standards_policy;no_action_not_my_company_literacy,Demand insurance companies work on this issue- cover more tests- such as for dense breast tissue
United States of America,collect_more_representative_data,collect_more_representative_data,Clean data is always helpful.
United States of America,no_action_not_my_company_literacy,no_action_not_my_company_literacy,I am unsure if my organization uses AI models for healthcare decisions.
United States of America,education_awareness,education_awareness;no_action_not_my_company_literacy,My organization is not authorizing the use of AI models (for this or anything else) as far as I'm aware.
United States of America,other,,note if we reported something that it is important and a true concern vs. attention seeking.
United States of America,collect_more_representative_data,collect_more_representative_data;women_in_leadership_ai_roles;no_action_not_my_company_literacy,Having more women in AI leadership positions
Spain,other,,N.a
Canada,no_action_not_my_company_literacy,no_action_not_my_company_literacy,dont know
United States of America,human_in_the_loop_limit_ai,human_in_the_loop_limit_ai,"Every company should take the outputs of AI models with a grain of salt, and not as empirical truth."
Canada,other,,Healthcare organizations need to do better and ensure that gender bias is eliminated
United States of America,no_action_not_my_company_literacy,no_action_not_my_company_literacy,I am not sure
United States of America,other,,"none, we're very small with only 50 employees"
United States of America,other,,Question the sources and support additional research to fill the open gaps
United Kingdom,no_action_not_my_company_literacy,no_action_not_my_company_literacy,N/a as we are an independent 50+ agency
South Africa,other,,Neautral
United States of America,other,,NA
United States of America,no_action_not_my_company_literacy,no_action_not_my_company_literacy,Let's be honest - they have the data on the pay gap between men and women (which no one is actioning).  What makes anyone believe that we are going to see an impact in AI?
South Africa,bias_audit_fairness_testing,bias_audit_fairness_testing;regulatory_standards_policy,Fairness standards   Regulating algorithm
United States of America,no_action_not_my_company_literacy,no_action_not_my_company_literacy,I don't know enough about this to make suggestions.
United States of America,other,,Having a survey that specifically focuses on women's healthcare
United States of America,no_action_not_my_company_literacy,no_action_not_my_company_literacy,i don't know
United States of America,no_action_not_my_company_literacy,no_action_not_my_company_literacy,Unsure
Belgium,human_in_the_loop_limit_ai,human_in_the_loop_limit_ai,Human review
United Kingdom,education_awareness,education_awareness,education
Germany,collect_more_representative_data,collect_more_representative_data;women_in_leadership_ai_roles;no_action_not_my_company_literacy,"By including more women specific data from clinical studies, these should support is reducing the bias, also in AI models, as this data would be available to analyse and use."
Poland,no_action_not_my_company_literacy,no_action_not_my_company_literacy,not sure
Belgium,no_action_not_my_company_literacy,no_action_not_my_company_literacy,Unsure
United Kingdom,no_action_not_my_company_literacy,no_action_not_my_company_literacy,N/A
United Kingdom,other,,Work to break down the barrier to discussing women related health issues without feeling your career will be impacted.
Switzerland,education_awareness,education_awareness;no_action_not_my_company_literacy,I know we had a panel discussion about how AI can be gender bias and the creator need to take this into consideration.
Switzerland,education_awareness,education_awareness,"Take a leading role in training models with diverse data, make sure important data is captured and used."
Ireland,clinical_trial_diversity,clinical_trial_diversity,My organisation is actively working to address diversity of patients enrolled in clinical research trials.
Belgium,no_action_not_my_company_literacy,no_action_not_my_company_literacy,I have heard that my company is looking at this... but I have not seen any output on precisely what they are doing. It is about going into the situation with open eyes and recognising that there is a problem without being defensive and cocreating a solution.
United Kingdom,no_action_not_my_company_literacy,no_action_not_my_company_literacy,Not sure
United Kingdom,other,,train the AI ensuring they are using data from everyone.
Denmark,no_action_not_my_company_literacy,no_action_not_my_company_literacy,I don't know. I don't work with this.
Netherlands,education_awareness,education_awareness,make us better aware
Czechia (Czech Republic),other,,Work with healtcare professionals specializing in Women care to understand the differences and address the real need.
India,education_awareness,education_awareness,Adequate training
South Africa,collect_more_representative_data,collect_more_representative_data,Collect/ obtain more detailed information
United Kingdom,no_action_not_my_company_literacy,no_action_not_my_company_literacy,Not sure
Switzerland,collect_more_representative_data,collect_more_representative_data;education_awareness;no_action_not_my_company_literacy,Adding more data from female patients and re-training the models.
Germany,clinical_trial_diversity,clinical_trial_diversity,adequate clinical studies
Japan,education_awareness,education_awareness;no_action_not_my_company_literacy,"First of all, HR and DX members those who lead AI in my company should learn about women's health."
United States of America,collect_more_representative_data,collect_more_representative_data;clinical_trial_diversity,Collecting broad data sets in our clinical trials.  Identifying patterns within trial protocol to expand/improve the types people who are attracted to enroll in said clinical trials
United States of America,collect_more_representative_data,collect_more_representative_data;bias_audit_fairness_testing,More data is required in order for the AI algorithms to work.
United States of America,no_action_not_my_company_literacy,no_action_not_my_company_literacy,no idea
United States of America,no_action_not_my_company_literacy,no_action_not_my_company_literacy,Unsure
India,education_awareness,education_awareness,more awareness
India,collect_more_representative_data,collect_more_representative_data;no_action_not_my_company_literacy,Representation at right levels and empathy to gaining truthful feedback
Italy,other,,Invest resources to better explore this field and propose actions
Ireland,education_awareness,education_awareness;no_action_not_my_company_literacy,"data aware, data collation and education"
United States of America,no_action_not_my_company_literacy,no_action_not_my_company_literacy,Unsure
Ireland,other,,"get more gender nuanced (incl. trans, etc) data"
United States of America,other,,NA
Libya,other,,Discuss more about mental health with employees and work in collaboration for stress relief
United States of America,no_action_not_my_company_literacy,no_action_not_my_company_literacy,Not sure
United States of America,no_action_not_my_company_literacy,no_action_not_my_company_literacy,None.  Bias will usecthe data to their favor
Belgium,other,,na
United States of America,other,,I don’t think there is a bias at my company
United States of America,no_action_not_my_company_literacy,no_action_not_my_company_literacy,Not sure because we are so small
Italy,no_action_not_my_company_literacy,no_action_not_my_company_literacy,I think that my organization is on the right track however benchmark and outside in perspectives can always further improve
United States of America,collect_more_representative_data,collect_more_representative_data;bias_audit_fairness_testing;women_in_leadership_ai_roles;education_awareness;no_action_not_my_company_literacy,Understand what algorithms and human bias are in place for drug discovery process AT THE VERY BEGINNING.  Create necessary challenges to how R&D employees truly feel and think about the societal racial and gender impacts of their medicine and therapies   More women and PoC running departments as well as in the C Suite- aggressively correct for the broken rung! NOW  Stop price gouging on all medicines. Profit over people has to stop
United States of America,sex_stratified_data_models,sex_stratified_data_models,Stratification of the data
Czechia (Czech Republic),collect_more_representative_data,collect_more_representative_data,Pay more attention on the data quality.
Czechia (Czech Republic),collect_more_representative_data,collect_more_representative_data;education_awareness;sex_stratified_data_models;no_action_not_my_company_literacy,Segregation on data gender female specific or female only invite to specifically female topic  More monthly health day reminders.   Open door with a doctor discussion organised with a collective survey and question gathering done online   Age segregation as menopause is not impactful to all fertile age sample and should be explored equally
Switzerland,collect_more_representative_data,collect_more_representative_data;bias_audit_fairness_testing;no_action_not_my_company_literacy,"Er firstly need to make sure that we understand the algorithms that we are building, secondly we need to make sure that there is representation of both women and women and colour and finally all AI driven information needs to be for support and not the driver of the decision"
Denmark,regulatory_standards_policy,regulatory_standards_policy;no_action_not_my_company_literacy,"Adopt and openly endorse a leave policy or flexible work from home policy that recognizes the fluctuations in a woman’s cycle that directly impact her ability to fucus, both positively and negatively depending on where she is in her cycle. Books like Fast Like a Girl and female heath specialists should be mandatory leadership resources that inform workplace policy and legitimize what is a natural wonder and force of nature❤️‍🩹"
Netherlands,other,,It is already doing this.
Germany,human_in_the_loop_limit_ai,human_in_the_loop_limit_ai,They should not be involved
Austria,regulatory_standards_policy,regulatory_standards_policy,Guidance and policy
United States of America,no_action_not_my_company_literacy,no_action_not_my_company_literacy,Unsure
United States of America,clinical_trial_diversity,clinical_trial_diversity,"Increase clinical trial sample with older, menopausal women"
Singapore,no_action_not_my_company_literacy,no_action_not_my_company_literacy,Ban AI if possible
United States of America,no_action_not_my_company_literacy,no_action_not_my_company_literacy,Not sure
United States of America,other,,More research and making sure to account for it when building our GenAI tools
United States of America,other,,Active learning models
United States of America,collect_more_representative_data,collect_more_representative_data,Focus on data gathering
United States of America,collect_more_representative_data,collect_more_representative_data,"Collect health information separately for genders, and use that in diagnosing and offering treatments for specific genders"
United States of America,other,,"Include prompts to search for women specific health data including migraines, low iron due to menstrual bleeding, sleep disorders, etc."
United States of America,no_action_not_my_company_literacy,no_action_not_my_company_literacy,Not sure
United Kingdom,other,,Provide more publicly available data and information
United States of America,collect_more_representative_data,collect_more_representative_data,Broaden data sets to include more diversity.
United States of America,other,,"Have options to accurately identify gender, beyond just the binary M/F"
United States of America,collect_more_representative_data,collect_more_representative_data;women_in_leadership_ai_roles,Include more women in studies and add women of color
United States of America,education_awareness,education_awareness,more awarenss
United States of America,other,,Our organization hasn't fully adopted AI and is in the process of understanding how to use it.
United States of America,collect_more_representative_data,collect_more_representative_data,"Isolate data to specific groups, pull in better data"
United States of America,no_action_not_my_company_literacy,no_action_not_my_company_literacy,not sure
Canada,other,,see responses above (12)
United States of America,no_action_not_my_company_literacy,no_action_not_my_company_literacy,unsure
United States of America,collect_more_representative_data,collect_more_representative_data,gather equal data from all genders
United States of America,other,,Not informed enough to answer
United States of America,collect_more_representative_data,collect_more_representative_data;no_action_not_my_company_literacy,Ensure proper representation in the data base used to capture the information and  ensure verifiable data sources.
Belgium,other,,I do not know
United States of America,no_action_not_my_company_literacy,no_action_not_my_company_literacy,provide data from both men and women for AI models.
United States of America,collect_more_representative_data,collect_more_representative_data,AI should be gathered from studies that accurately included and reflected women's health rather than the general  knowledge base available in healthcare. It should also stratefied by age to reflect those women's issues that manifest or increase with age.
United States of America,other,,Require it.
United States of America,other,,Have all conditions based on gender and age
United States of America,no_action_not_my_company_literacy,no_action_not_my_company_literacy,clear action plan on how Roche will be the leader to minimize gender bias in AI models in healthcare
United States of America,other,,none
Switzerland,no_action_not_my_company_literacy,no_action_not_my_company_literacy,I don't know
United States of America,education_awareness,education_awareness;no_action_not_my_company_literacy,I am not sure what steps are needed since I am not aware of the gaps that exist
United States of America,no_action_not_my_company_literacy,no_action_not_my_company_literacy,not familiar
United States of America,other,,Look at lab data by gender
United States of America,other,,my biz unit is not specifically related to healthcare (unlike the rest of the company) so it's hard for me to know where gaps might be in what's happening there.
United States of America,other,,ask more questions
United States of America,other,,Include a diverse pool of women when designing and implementing such tools.
United States of America,other,,I genuinely still need assistance creating these steps
United States of America,collect_more_representative_data,collect_more_representative_data,"Ensure data is comprehensive, drive inclusion of gender related studies when developing healthcare solutions."
United States of America,other,,None
United States of America,no_action_not_my_company_literacy,no_action_not_my_company_literacy,Not sure
United States of America,no_action_not_my_company_literacy,no_action_not_my_company_literacy,unsure
United States of America,no_action_not_my_company_literacy,no_action_not_my_company_literacy,Not applicable to my company
United States of America,other,,Partnering with employee resource groups that focus on women to understand unmet needs.
United States of America,collect_more_representative_data,collect_more_representative_data,"Incorporate the data that we are collecting into the learning process, but must ensure privacy is maintained"
United States of America,education_awareness,education_awareness,Perhaps having a discussion with insurance providers to determine if they have measures in place to prevent gender bias in the tools they use for determining preventive options and coverage for women's illness.
United States of America,no_action_not_my_company_literacy,no_action_not_my_company_literacy,Ensure they are powered/build in a way to equally takes into consideration all genders
United States of America,education_awareness,education_awareness,"education, awareness, and empathy"
United States of America,other,,Address the gender biases exist and to take a more proactive approach
United Kingdom,sex_stratified_data_models,sex_stratified_data_models;no_action_not_my_company_literacy,"ensure a balance in contributing data, even a skew toward the female"
India,other,,NA
United States of America,no_action_not_my_company_literacy,no_action_not_my_company_literacy,My work is female dominated so not sure
United States of America,education_awareness,education_awareness,"Create, communicate and enforce organizational policies that normalize women’s health."
United States of America,other,,Understanding the gaps in data/research and what 'misinformation' is current fed into the AI database. Ensure those gaps are taken care of to get valid data.
United States of America,other,,I have no knowledge of this topic.
United States of America,clinical_trial_diversity,clinical_trial_diversity,Clinical trial diversity
United States of America,no_action_not_my_company_literacy,no_action_not_my_company_literacy,modify for their gender split of employees - 50/50 if thats what it is male and female
